/25/2018  4:01:52.529 WiFiDeviceManagerSetNetworks: Apple Demo is disabled until first user join
11/25/2018  4:10:33.718 WiFiDeviceIsChannelSupportedForRanging: channel 11 is supported for ranging, suggested channel 0
11/25/2018  4:10:33.719 WiFiDeviceIsMultipleChannelRangingSupported: multiple channel ranging is supported
11/25/2018  4:10:33.747 WiFiDeviceIsSWCorrectionRequiredForRanging: SW correction is not needed for ranging on this device
11/25/2018  4:10:33.751 Submitting SDB TDM Metric: <AWDWiFiSDB: 0x100526dc0> {
}
11/25/2018  4:10:33.751 Submitted wifi awd metric <0x90052> with no error
11/25/2018  4:10:33.753 WiFiDeviceIsChannelSupportedForRanging: channel 11 is supported for ranging, suggested channel 0
11/25/2018  4:10:33.753 WiFiDeviceIsMultipleChannelRangingSupported: multiple channel ranging is supported
11/25/2018  4:10:33.845 WiFiCellularNotificationsStartMonitoring_block_invoke: update cellularTxStarted 0, isShort 0
11/25/2018  4:10:33.853 WiFiDeviceIsSWCorrectionRequiredForRanging: SW correction is not needed for ranging on this device
11/25/2018  4:10:33.853 __WiFiDeviceManagerAwdlAvailableCallback: AWDL availability changed to TRUE
11/25/2018  4:10:33.853 __WiFiDeviceCheckForIPRenewalWakeupSupport: State:/Network/Interface/en0/ActiveDuringSleepSupported = FALSE
11/25/2018  4:10:33.854 __WiFiDeviceCopyLinkChangedSubReasonString: Apple80211ReturnToString failed 1
11/25/2018  4:10:33.854 __WiFiDeviceProcessDriverAvailableEvent: driver availability:false, reason:PowerOff(0xe0821804), subreason:(null)(0x0) 

11/25/2018  4:10:33.854 __WiFiDeviceProcessDriverAvailableEvent: driver programCounter:(0x0),  linkRegister:(0x0), fileName: lineNumber:(0) functionName: 

11/25/2018  4:10:33.855 __WiFiManagerDispatchDeviceAvailable: driver availability false

11/25/2018  4:10:33.857 __WiFiAWDManagerPrepareWatchdogMetric: WatchdogMetric : reason(PowerOff) functionName() fileName() 

11/25/2018  4:10:33.857 Submitted wifi awd metric <0x9000e> with no error
11/25/2018  4:10:33.859 Power stats update: Type 0x6 UnassociatedSleepDur 0 AssociatedSleepDur 512903 TotalDur 519403 RoamDur 3070
11/25/2018  4:10:33.859 Submitted wifi awd metric <0x90010> with no error
11/25/2018  4:10:33.859 __WiFiLQAMgrLogStats(stationary): Rssi: -63 {0 0} Cca: 0 TxPer: 0.0% (0) BcnPer: 0.0% (0, 90.0%) RxFrms: 0 RxRetryFrames: 0 TxRate: 0 RxRate: 0 FBRate: 0 TxFwFrms: 0 TxFwFail: 0 TxReTrans: 0 time: 294150.9secs
11/25/2018  4:10:33.859 __WiFiDeviceManagerLQMEventCallback: null snrNumRef
11/25/2018  4:10:33.861 __WiFiDeviceCopyLinkChangedSubReasonString: Apple80211ReturnToString failed 1
11/25/2018  4:10:33.861 __WiFiDeviceProcessDriverAvailableEvent: driver availability:true, reason:Initializing(0xe0821803), subreason:(null)(0x0) 

11/25/2018  4:10:33.861 __WiFiDeviceProcessDriverAvailableEvent: driver programCounter:(0x0),  linkRegister:(0x0), fileName: lineNumber:(0) functionName: 

11/25/2018  4:10:33.861 __WiFiDeviceProcessDriverAvailableEvent No watch dog extended info flags set for this availability report
11/25/2018  4:10:33.861 __WiFiManagerDispatchDeviceAvailable: driver availability true

11/25/2018  4:10:33.861 -[WiFiSoftErrorManager wifiSoftErrorEventHandler:eventType:eventData:]: eventType received:10 eventName:WiFiSoftErrorEventDriverAvailable
11/25/2018  4:10:33.861 -[WiFiSoftErrorManager supressEventDetectionProcesssing:deviceContext:]: Invalid SoftErrorEvent:10
11/25/2018  4:10:33.861 -[WiFiSoftErrorManager supressEventDetectionProcesssing:deviceContext:]: ErrorDetection to be filtered:0 for event:10
11/25/2018  4:10:33.861 -[WiFiSoftErrorManager wifiSoftErrorEventHandler:eventType:eventData:]: eventType:(10) Unknown
11/25/2018  4:10:33.864 __WiFiDeviceManagerAutoAssociate: Already connected to PhoneReset.
11/25/2018  4:10:33.864 __WiFiAWDManagerPrepareWatchdogMetric: WatchdogMetric : reason(Initializing) functionName() fileName() 

11/25/2018  4:10:33.864 Submitted wifi awd metric <0x9000e> with no error
11/25/2018  4:10:33.864 __WiFiDeviceManagerAutoAssociate: Already connected to PhoneReset.
11/25/2018  4:10:33.865 No Change in Background Scan Networks, Skip Re-Programming Background Scan

11/25/2018  4:10:33.933 apsd[106] is a wow client
11/25/2018  4:10:33.933 WoW is Enabled, 1 WoW Clients
11/25/2018  4:10:38.694 CurrentBSS  {-61dbm, 1, 457911ms } RoamCache - {{0:14:d1:af:39:70, -55, 1}}
11/25/2018  4:10:38.844 Received kIOMessageSystemWillSleep
11/25/2018  4:10:38.844 System Sleep notification, Disabling auto-join
11/25/2018  4:10:38.845 __WiFiManagerSetEnableState: state FALSE, manager->enable.setting TRUE, manager->unlockedSinceBoot TRUE
11/25/2018  4:10:38.846 Disabling automatic association
11/25/2018  4:10:38.848 Auto-join deferral canceled.
11/25/2018  4:20:53.723 Received kIOMessageSystemWillPowerOn
11/25/2018  4:20:53.723 System wake reason: AOP.PMU pin26 rtc
11/25/2018  4:20:53.723 System Powered ON notification Re-enabling auto-join
11/25/2018  4:20:53.723 __WiFiManagerSetEnableState: state TRUE, manager->enable.setting TRUE, manager->unlockedSinceBoot TRUE
11/25/2018  4:20:53.723 Enabling automatic association
11/25/2018  4:20:53.724 AJScan: Filtered networks - PhoneReset 
11/25/2018  4:20:53.724 __WiFiDeviceManagerStateMachineRun: current state: Idle
11/25/2018  4:20:53.724 __WiFiDeviceManagerIsGeotagged5GhzNetworkPresent: location is older than 120 secs
11/25/2018  4:20:53.724 Attempting multi-stage auto join mStageAutoJoinAttempts=0
11/25/2018  4:20:53.724 __WiFiDeviceManagerScanPreviousNetworkChannel: latitude=+29.756311, longitude=-98.692600 Accuracy=65.000000  timeIntervalSinceNow=1145.202674secs source=WiFi
11/25/2018  4:20:53.724 freshness 60.000000secs location_age 1145.202750secs, lifeSpan 8.436081, accuracy 65.000000m req_accuracy 165.000000m ==> isLocationValid 0
11/25/2018  4:20:53.724 __WiFiDeviceManagerScanPreviousNetworkChannel: isValid 0
11/25/2018  4:20:53.724 multi-stage auto-join: Scanning for previous network PhoneReset on channel 11
11/25/2018  4:20:53.724 Performing auto-join broadcast scan with a modified dwell time of 110ms on channels: 11 
11/25/2018  4:20:53.724 AJScan: Scan-{PrevChannel Inactive FullReset DevEnable}  Expecting-[0NW, 0Hid, 0HS20, 0HS] @ {stationary, 29.756, -98.693, 65.0m, -1145.2secs}]
11/25/2018  4:20:53.724 Enqueuing command type: "Scan" pending commands: 0
11/25/2018  4:20:53.725 WiFiLocaleManagerCheckLocale: locale <US> was determined at 11/25/18, 3:32:12 AM Central Standard Time, has been valid for 48.68 mins [cache timeout 60.00 mins] 
11/25/2018  4:20:53.725 Dequeuing command type: "Scan" pending commands: 0
11/25/2018  4:20:53.726 Attempting Apple80211ScanAsync on en0
11/25/2018  4:20:53.726 __WiFiDeviceCopyPreparedScanResults: maxAge 0 seconds, numCacheEntries: 0, cacheEntryUsable 0, cacheUsable 0, scanResultsFound 0, scanResults count: 0, scanChannelSet count: 0 
11/25/2018  4:20:53.726 __WiFiDeviceCopyPreparedScanResults: network records count: 0 
11/25/2018  4:20:53.844 WiFiCellularNotificationsStartMonitoring_block_invoke: update cellularTxStarted 0, isShort 0
11/25/2018  4:20:53.862 __WiFiVirtualInterfaceProcessAWDLRealTimeModeEvent: didStart 0
11/25/2018  4:20:53.863 WiFiMetricsManagerProcessAwdlUsageData: submitting AWDL metrics: duration:10
11/25/2018  4:20:53.864 Submitted wifi awd metric <0x90013> with no error
11/25/2018  4:20:53.865 __WiFiDeviceManagerAwdlRealTimeModeEventCallback: AwdlRealTime: Before 0, Now 0
11/25/2018  4:20:53.870 WiFiDeviceIsChannelSupportedForRanging: channel 0 is supported for ranging, suggested channel 0
11/25/2018  4:20:53.870 WiFiDeviceIsMultipleChannelRangingSupported: multiple channel ranging is supported
11/25/2018  4:20:53.882 WiFiDeviceIsSWCorrectionRequiredForRanging: SW correction is not needed for ranging on this device
11/25/2018  4:20:53.882 __WiFiDeviceCopyLinkChangedSubReasonString: Apple80211ReturnToString failed 1
11/25/2018  4:20:53.882 __WiFiDeviceProcessDriverAvailableEvent: driver availability:false, reason:PowerOff(0xe0821804), subreason:(null)(0x0) 

11/25/2018  4:20:53.882 __WiFiDeviceProcessDriverAvailableEvent: driver programCounter:(0x0),  linkRegister:(0x0), fileName: lineNumber:(0) functionName: 

11/25/2018  4:20:53.882 __WiFiManagerDispatchDeviceAvailable: driver availability false

11/25/2018  4:20:53.884 Aborting EAP
11/25/2018  4:20:53.884 Aborted current auto-join session.
11/25/2018  4:20:53.884 __WiFiAWDManagerPrepareWatchdogMetric: WatchdogMetric : reason(PowerOff) functionName() fileName() 

11/25/2018  4:20:53.884 Submitted wifi awd metric <0x9000e> with no error
11/25/2018  4:20:53.886 WiFiDeviceIsChannelSupportedForRanging: channel 0 is supported for ranging, suggested channel 0
11/25/2018  4:20:53.886 WiFiDeviceIsMultipleChannelRangingSupported: multiple channel ranging is supported
11/25/2018  4:20:53.889 Submitting SDB TDM Metric: <AWDWiFiSDB: 0x1006b5b90> {
}
11/25/2018  4:20:53.889 Submitted wifi awd metric <0x90052> with no error
11/25/2018  4:20:53.891 WiFiDeviceIsSWCorrectionRequiredForRanging: SW correction is not needed for ranging on this device
11/25/2018  4:20:53.891 __WiFiDeviceManagerAwdlAvailableCallback: AWDL availability changed to TRUE
11/25/2018  4:20:53.891 IPV4 State change for en0
11/25/2018  4:20:53.894 __WiFiDeviceCheckForIPRenewalWakeupSupport: State:/Network/Interface/en0/ActiveDuringSleepSupported = TRUE
11/25/2018  4:20:53.894 IPv4 Primary interface is (null) and IPv6 Primary Interface is (null)
11/25/2018  4:20:53.894 __WiFiDeviceProcessLinkEvent: isLinkDown 1
11/25/2018  4:20:53.894 __WiFiDeviceManagerRemoveMediaPlaybackStateObserver
11/25/2018  4:20:53.895 AJScan: Filtered networks - PhoneReset 
11/25/2018  4:20:53.895 __WiFiDeviceManagerStateMachineRun: current state: Idle
11/25/2018  4:20:53.895 __WiFiDeviceManagerIsGeotagged5GhzNetworkPresent: location is older than 120 secs
11/25/2018  4:20:53.895 Attempting multi-stage auto join mStageAutoJoinAttempts=0
11/25/2018  4:20:53.895 __WiFiDeviceManagerScanPreviousNetworkChannel: latitude=+29.756311, longitude=-98.692600 Accuracy=65.000000  timeIntervalSinceNow=1145.373635secs source=WiFi
11/25/2018  4:20:53.895 freshness 60.000000secs location_age 1145.373668secs, lifeSpan 8.436081, accuracy 65.000000m req_accuracy 165.000000m ==> isLocationValid 0
11/25/2018  4:20:53.895 __WiFiDeviceManagerScanPreviousNetworkChannel: isValid 0
11/25/2018  4:20:53.895 multi-stage auto-join: Scanning for previous network PhoneReset on channel 11
11/25/2018  4:20:53.895 Performing auto-join broadcast scan with a modified dwell time of 110ms on channels: 11 
11/25/2018  4:20:53.895 AJScan: Scan-{PrevChannel Inactive FullReset Link}  Expecting-[0NW, 0Hid, 0HS20, 0HS] @ {stationary, 29.756, -98.693, 65.0m, -1145.4secs}]
11/25/2018  4:20:53.895 Enqueuing command type: "Scan" pending commands: 1
11/25/2018  4:20:53.895 __WiFiDeviceManagerSetInterfaceRank: setting interface rank kSCNetworkServicePrimaryRankDefault
11/25/2018  4:20:53.896 __WiFiDeviceManagerLQMEventCallback: null ccaNumRef
11/25/2018  4:20:53.896 __WiFiDeviceManagerLQMEventCallback: null snrNumRef
11/25/2018  4:20:53.897 Link went down: isInVoluntary 0, reason Unknown(4), subreason 8, rssi -61
11/25/2018  4:20:53.897 __WiFiDeviceResetCCAHistory
11/25/2018  4:20:53.897 __WiFiDeviceResetRssiHistory
11/25/2018  4:20:53.897 Submitted wifi awd metric <0x90009> with no error
11/25/2018  4:20:53.898 __WiFiDeviceCheckForIPRenewalWakeupSupport: State:/Network/Interface/en0/ActiveDuringSleepSupported = FALSE
11/25/2018  4:20:53.898 WiFiNetworkGetSSID: null network ref
11/25/2018  4:20:53.898 __WiFiManagerGeoTagNetworkIfApplicable: network: (null), isWiFiNetworkWaitingToBeGeoTagged 0
11/25/2018  4:20:53.898 -[WiFiIDSSyncEngine currentNetworkChanged]: <0x16fdd3000>, role 1, currentNetwork (null)
11/25/2018  4:20:53.898 -[WiFiIDSSyncEngine currentNetworkChanged]: adjusted waitForReAssociationTimer <CFRunLoopTimer 0x1006862c0 [0x1b45cf538]>{valid = Yes, firing = No, interval = 879900215, tolerance = 0, next fire date = 564834084 (29.999957 @ 290410671973), callout = (NSTimer) [WiFiIDSSyncEngine companionReAssociationWaitTimerFired:] (0x1829e737c / 0x10030b890) (/usr/sbin/wifid), context = <CFRunLoopTimer context 0x10068bb90>}
11/25/2018  4:20:53.899 Total connection time to PhoneReset 1543024245.414875
11/25/2018  4:20:53.901 __WiFiManagerPreferencesCallback: <thread 0x16fdd3000>, 2
11/25/2018  4:20:53.902 WiFiLoggingSetLogFile: Current log file: (null), new log file: (null), class C file: NO
11/25/2018  4:20:53.902 __WiFiManagerDeviceManagerApplier: set policies (null)
11/25/2018  4:20:53.902 WiFiDeviceSetWapiEnabled: Set WAPI DISABLED
11/25/2018  4:20:53.903 WiFiDeviceManagerSetNetworks: Apple Demo is disabled until first user join
11/25/2018  4:20:53.903 WiFiDeviceManagerSetNetworks: Apple Store is disabled until first user join
11/25/2018  4:20:53.903 Auto association attempt canceled because auto join state is Scanning Previous Network Channel.
11/25/2018  4:20:53.903 No Change in Background Scan Networks, Skip Re-Programming Background Scan

11/25/2018  4:20:53.903 __WiFiManagerCheckSCCleanUpScheduling: Already Unscheduled
11/25/2018  4:20:53.904 WiFiMetricsManagerMetricQueryCallback: <Thread 1876766720> <0x90027>
11/25/2018  4:20:53.904 __WiFiAWDManagerPrepareLastSSIDInfoMetric: submitting lastSSIDAttemptedStr:PhoneReset, 
11/25/2018  4:20:53.904 __WiFiAWDManagerPrepareLastSSIDInfoMetric: submitting lastSSIDConnectedToStr:PhoneReset
11/25/2018  4:20:53.904 WiFiMetricsManagerMetricQueryCallback: <Thread 1876766720> <0x90027>
11/25/2018  4:20:53.904 __WiFiAWDManagerPrepareLastSSIDInfoMetric: submitting lastSSIDAttemptedStr:PhoneReset, 
11/25/2018  4:20:53.904 __WiFiAWDManagerPrepareLastSSIDInfoMetric: submitting lastSSIDConnectedToStr:PhoneReset
11/25/2018  4:20:53.908 Submitted wifi awd metric <0x90027> with no error
11/25/2018  4:20:53.908 Submitted wifi awd metric <0x90027> with no error
11/25/2018  4:20:53.912 WiFiManagerStoreLeakyAPData: updated LEAKY_AP_LEARNED_DATA for network PhoneReset - 0:14:d1:af:39:90
11/25/2018  4:20:53.916 __WiFiManagerPreferencesCallback: <thread 0x16fdd3000>, 2
11/25/2018  4:20:53.916 WiFiLoggingSetLogFile: Current log file: (null), new log file: (null), class C file: NO
11/25/2018  4:20:53.917 __WiFiManagerDeviceManagerApplier: set policies (null)
11/25/2018  4:20:53.917 WiFiDeviceSetWapiEnabled: Set WAPI DISABLED
11/25/2018  4:20:53.918 WiFiDeviceManagerSetNetworks: Apple Demo is disabled until first user join
11/25/2018  4:20:53.918 WiFiDeviceManagerSetNetworks: Apple Store is disabled until first user join
11/25/2018  4:20:53.919 Auto association attempt canceled because auto join state is Scanning Previous Network Channel.
11/25/2018  4:20:53.919 No Change in Background Scan Networks, Skip Re-Programming Background Scan

11/25/2018  4:20:53.919 __WiFiManagerCheckSCCleanUpScheduling: Already Unscheduled
11/25/2018  4:20:53.919 Power stats update: Type 0x4 UnassociatedSleepDur 613669 AssociatedSleepDur 3 TotalDur 614687 RoamDur 0
11/25/2018  4:20:53.919 Submitted wifi awd metric <0x90010> with no error
11/25/2018  4:20:53.919 __WiFiManagerPreferencesCallback: <thread 0x16fdd3000>, 3
11/25/2018  4:20:53.920 WiFiLoggingSetLogFile: Current log file: (null), new log file: (null), class C file: NO
11/25/2018  4:20:53.920 __WiFiManagerDeviceManagerApplier: set policies (null)
11/25/2018  4:20:53.920 WiFiDeviceSetWapiEnabled: Set WAPI DISABLED
11/25/2018  4:20:53.921 WiFiDeviceManagerSetNetworks: Apple Demo is disabled until first user join
11/25/2018  4:20:53.921 WiFiDeviceManagerSetNetworks: Apple Store is disabled until first user join
11/25/2018  4:20:53.921 Auto association attempt canceled because auto join state is Scanning Previous Network Channel.
11/25/2018  4:20:53.921 No Change in Background Scan Networks, Skip Re-Programming Background Scan

11/25/2018  4:20:53.921 __WiFiManagerCheckSCCleanUpScheduling: Already Unscheduled
11/25/2018  4:20:53.921 __WiFiDeviceCopyLinkChangedSubReasonString: Apple80211ReturnToString failed 1
11/25/2018  4:20:53.921 __WiFiDeviceProcessDriverAvailableEvent: driver availability:true, reason:Initializing(0xe0821803), subreason:(null)(0x0) 

11/25/2018  4:20:53.921 __WiFiDeviceProcessDriverAvailableEvent: driver programCounter:(0x0),  linkRegister:(0x0), fileName: lineNumber:(0) functionName: 

11/25/2018  4:20:53.921 __WiFiDeviceProcessDriverAvailableEvent No watch dog extended info flags set for this availability report
11/25/2018  4:20:53.921 __WiFiManagerDispatchDeviceAvailable: driver availability true

11/25/2018  4:20:53.923 Auto association attempt canceled because auto join state is Scanning Previous Network Channel.
11/25/2018  4:20:53.923 __WiFiAWDManagerPrepareWatchdogMetric: WatchdogMetric : reason(Initializing) functionName() fileName() 

11/25/2018  4:20:53.924 Auto association attempt canceled because auto join state is Scanning Previous Network Channel.
11/25/2018  4:20:53.924 No Change in Background Scan Networks, Skip Re-Programming Background Scan

11/25/2018  4:20:53.924 Submitted wifi awd metric <0x9000e> with no error
11/25/2018  4:20:53.924 -[WiFiSoftErrorManager wifiSoftErrorEventHandler:eventType:eventData:]: eventType received:10 eventName:WiFiSoftErrorEventDriverAvailable
11/25/2018  4:20:53.924 -[WiFiSoftErrorManager supressEventDetectionProcesssing:deviceContext:]: Invalid SoftErrorEvent:10
11/25/2018  4:20:53.924 -[WiFiSoftErrorManager supressEventDetectionProcesssing:deviceContext:]: ErrorDetection to be filtered:0 for event:10
11/25/2018  4:20:53.924 -[WiFiSoftErrorManager wifiSoftErrorEventHandler:eventType:eventData:]: eventType:(10) Unknown
11/25/2018  4:20:53.928 Completed Apple80211ScanAsync on en0 (0x0)
11/25/2018  4:20:53.928 __WiFiDeviceProcessScanDoneEvent: Filtering WAPI networks
11/25/2018  4:20:53.928 __WiFiDeviceCreateFilteredScanResults: rssiThresh 0, doTrimming 0, scanResults count: 9, trimmedScanResults count: 9, filteredScanResults count: 9 
11/25/2018  4:20:53.928 __WiFiDeviceAddScanCacheEntry: 2 scan cache entries exist. Creating a scan cache entry with 9 scanResults
11/25/2018  4:20:53.929 __WiFiDeviceUpdateCache: maxAge: 14 seconds, cache entries before update: 3, cache entries after update: 1 
11/25/2018  4:20:53.929 Auto join scan completed (0) with current state: Scanning Previous Network Channel
11/25/2018  4:20:53.929 Ignorning old request.  CurrentCommand=924 PendingCommand=925
11/25/2018  4:20:53.929 Dequeuing command type: "Scan" pending commands: 0
11/25/2018  4:20:53.929 Attempting Apple80211ScanAsync on en0
11/25/2018  4:20:53.929 __WiFiDeviceCopyPreparedScanResults: maxAge 0 seconds, numCacheEntries: 0, cacheEntryUsable 0, cacheUsable 0, scanResultsFound 0, scanResults count: 0, scanChannelSet count: 0 
11/25/2018  4:20:53.929 __WiFiDeviceCopyPreparedScanResults: network records count: 0 
11/25/2018  4:20:53.967 No Change in Background Scan Networks, Skip Re-Programming Background Scan

11/25/2018  4:20:53.967 locationd requesting addition of BGScan networks.
11/25/2018  4:20:53.967 Preparing background scan request for "PhoneReset" "60:c5:47:4f:51:1d ~ EN" "60:c5:47:4d:cd:6f ~ EN" "60:c5:47:4f:51:1c ~ EN" on channels: 1 6 11 Background Scan Caching is Enabled
11/25/2018  4:20:53.971 age diff 1145.439911, accuracy diff 0.000000
11/25/2018  4:20:53.971 didUpdateLocations: latitude=+29.756421, longitude=-98.692640 Accuracy=65.000000  timeIntervalSinceNow=0.010020secs source=WiFi
11/25/2018  4:20:53.977 WiFiDeviceRequestAssociatedSleep: ActiveDuringSleepRequested is already removed ((null)).
11/25/2018  4:20:53.984 Disable WoW requested by "mediaserverd"
11/25/2018  4:20:53.987 MIS state is Disabled
11/25/2018  4:20:53.987 MIS state queried by "apsd" is Disable
11/25/2018  4:20:53.987 MIS state is Disabled
11/25/2018  4:20:53.987 MIS state queried by "locationd" is Disable
11/25/2018  4:20:53.987 MIS state is Disabled
11/25/2018  4:20:53.987 MIS state queried by "CommCenter" is Disable
11/25/2018  4:20:53.987 MIS state is Disabled
11/25/2018  4:20:53.987 MIS state queried by "imagent" is Disable
11/25/2018  4:20:53.987 MIS state is Disabled
11/25/2018  4:20:53.987 MIS state queried by "mediaserverd" is Disable
11/25/2018  4:20:53.988 MIS state is Disabled
11/25/2018  4:20:53.988 MIS state queried by "UserEventAgent" is Disable
11/25/2018  4:20:53.988 MIS state is Disabled
11/25/2018  4:20:53.988 MIS state queried by "identityservices" is Disable
11/25/2018  4:20:53.988 MIS state is Disabled
11/25/2018  4:20:53.988 MIS state queried by "SpringBoard" is Disable
11/25/2018  4:20:53.988 WiFiManagerGetUserAutoJoinState: user auto join state 1
11/25/2018  4:20:53.988 User auto join state queried by "SpringBoard" is Enable
11/25/2018  4:20:53.993 MIS state is Disabled
11/25/2018  4:20:53.993 MIS state queried by "callservicesd" is Disable
11/25/2018  4:20:53.993 MIS state is Disabled
11/25/2018  4:20:53.993 MIS state queried by "calaccessd" is Disable
11/25/2018  4:20:53.993 MIS state is Disabled
11/25/2018  4:20:53.993 MIS state queried by "nanoregistryd" is Disable
11/25/2018  4:20:53.999 apsd[106] is a wow client
11/25/2018  4:20:53.999 WoW is Enabled, 1 WoW Clients
11/25/2018  4:20:54.005 apsd[106] is a wow client
11/25/2018  4:20:54.006 WoW is Enabled, 1 WoW Clients
11/25/2018  4:20:54.080 Completed Apple80211ScanAsync on en0 (0x0)
11/25/2018  4:20:54.080 __WiFiDeviceProcessScanDoneEvent: Filtering WAPI networks
11/25/2018  4:20:54.080 __WiFiDeviceCreateFilteredScanResults: rssiThresh 0, doTrimming 0, scanResults count: 10, trimmedScanResults count: 10, filteredScanResults count: 10 
11/25/2018  4:20:54.080 __WiFiDeviceAddScanCacheEntry: 1 scan cache entries exist. Creating a scan cache entry with 10 scanResults
11/25/2018  4:20:54.083 __WiFiDeviceUpdateCache: maxAge: 14 seconds, cache entries before update: 2, cache entries after update: 2 
11/25/2018  4:20:54.083 Auto join scan completed (0) with current state: Scanning Previous Network Channel
11/25/2018  4:20:54.083 __WiFiDeviceManagerStateMachineRun: current state: Scanning Previous Network Channel
11/25/2018  4:20:54.083 __WiFiDeviceManagerProcessMultiStageScanResults: current state: Scanning Previous Network Channel
11/25/2018  4:20:54.083 Scanning Previous Network Channel found: Shipping, , Mannapov, , Office, , Guest, PhoneReset, , beta
11/25/2018  4:20:54.083 WiFiNetworkGetSSID: null network ref
11/25/2018  4:20:54.083 __WiFiDeviceManagerProcessMultiStageScanResults: scanned# 10, known# 1, isHS20AccountConfigured 0, topRankedKnownNetwork (null)
11/25/2018  4:20:54.084 WiFiNetworkSetDisabledUntilDate: null disabled until date, removing property
11/25/2018  4:20:54.084 WiFiNetworkSetDisabledUntilDate: null disabled until date, removing property
11/25/2018  4:20:54.084 __WiFiDeviceManagerPrepareCandidates: current state: Scanning Previous Network Channel 
11/25/2018  4:20:54.084 Attempting auto-join for networks in following order: PhoneReset(11), 
11/25/2018  4:20:54.084 Autojoin is processing network 1 of 1 candidates
11/25/2018  4:20:54.084 Attempting auto join association of PhoneReset
11/25/2018  4:20:54.084 Calling OneStats function [AssocStart] here: __WiFiDeviceManagerAssociateCandidate
11/25/2018  4:20:54.084 WiFiMetricsOneStatsRecordAssocStats: OneStats is NOT Configured! No-op here- Returning!
11/25/2018  4:20:54.084 Enqueuing command type: "Association" pending commands: 1
11/25/2018  4:20:54.085 Dequeuing command type: "Association" pending commands: 0
11/25/2018  4:20:54.085 Attempting Apple80211AssociateAsync
11/25/2018  4:20:54.106 __WiFiDeviceRecordLastSSIDInfo: network:PhoneReset assocSuccess:0 
11/25/2018  4:20:54.155 __WiFiDeviceProcessLinkEvent: isLinkDown 0
11/25/2018  4:20:54.156 +[RootNetwork(CustomMethods) getRootNetworkMatchingWiFiNetwork:fromMOC:]: fetch result# 1, error (null)
11/25/2018  4:20:54.156 __WiFiDeviceManagerAddMediaPlaybackStateObserver, isCarplay 0, user forced 0
11/25/2018  4:20:54.156 __WiFiDeviceManagerNowPlayingStateDidChange: Reading Initial State
11/25/2018  4:20:54.158 __WiFiDeviceManagerSetInterfaceRank: setting interface rank kSCNetworkServicePrimaryRankDefault
11/25/2018  4:20:54.158 __WiFiDeviceManagerNowPlayingStateDidChange_block_invoke: Unknown
11/25/2018  4:20:54.158 WiFiNetworkIsEdgeBss: 0:14:d1:af:39:90 - no - {bcnloss:0 trgDisc:0}
11/25/2018  4:20:54.158 Detected multiAP environment for PhoneReset
11/25/2018  4:20:54.158 __WiFiDeviceManagerEvaluateAPEnvironment: Getting AP environment for PhoneReset. Learning period 259200 secs Expiry period 2592000 secs
11/25/2018  4:20:54.158 __WiFiDeviceManagerEvaluateAPEnvironment: AP environment is 4 for PhoneReset(0:14:d1:af:39:90)
11/25/2018  4:20:54.158 WiFiDeviceSetRoamParams: setting roam profile to type 3
11/25/2018  4:20:54.170 __WiFiDeviceManagerEvaluateAPEnvironment: Getting AP environment for PhoneReset. Learning period 259200 secs Expiry period 2592000 secs
11/25/2018  4:20:54.170 __WiFiDeviceManagerEvaluateAPEnvironment: AP environment is 4 for PhoneReset(0:14:d1:af:39:90)
